,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
143,85171,ADAUSDT,0.0,-0.043354121999999995,1355.326179671998,1673.0,0.12957,4105.0,0.13207605602923264,entry_trailing_cropped_long
144,85172,ZILUSDT,0.0,-0.043361582,1355.282818089998,8767.0,0.02473,21137.0,0.02564881061645456,entry_trailing_cropped_long
145,85174,RUNEUSDT,0.0,-0.0433054,1355.239512689998,293.0,0.739,713.0,0.7599116409537167,entry_trailing_cropped_long
146,85220,ZILUSDT,27.71461000000002,-0.113970704,1382.840151985998,-21137.0,0.02696,0.0,0.02564881061645456,close_trailing_long
147,85221,ADAUSDT,0.0,-0.002195468,1382.837956517998,82.0,0.13387,4187.0,0.13211118939574873,entry_trailing_cropped_long
148,85221,CRVUSDT,0.0,-0.0021802200000000005,1382.835776297998,20.3,0.537,978.4,0.5653559893704007,entry_trailing_cropped_long
149,85221,RUNEUSDT,0.0,-0.0023388,1382.8334374979981,15.0,0.7796,728.0,0.7603173076923077,entry_trailing_cropped_long
150,85221,XLMUSDT,0.0,-0.00217806,1382.8312594379981,62.0,0.17565,3185.0,0.17366810675039246,entry_trailing_cropped_long
151,85334,ADAUSDT,0.7535034392166253,-0.00274008,1383.5820227972147,-98.0,0.1398,4089.0,0.13211118939574873,close_unstuck_long
152,85335,ADAUSDT,0.7672234392166254,-0.0027428240000000005,1384.3465034124313,-98.0,0.13994,3991.0,0.13211118939574873,close_unstuck_long
153,85336,ADAUSDT,0.7611922498208765,-0.0027680400000000003,1385.1049276222523,-99.0,0.1398,3892.0,0.13211118939574873,close_unstuck_long
154,85336,XLMUSDT,0.0,-0.001009568,1385.1039180542523,28.0,0.18028,3213.0,0.1737257267351385,entry_trailing_cropped_long
155,85337,ADAUSDT,0.7710922498208754,-0.00277002,1385.872240284073,-99.0,0.1399,3793.0,0.13211118939574873,close_unstuck_long
156,85337,CRVUSDT,0.0,-0.00100464,1385.871235644073,9.2,0.546,987.6,0.5651756784123126,entry_trailing_cropped_long
157,85338,ADAUSDT,0.7750634392166251,-0.0027443920000000004,1386.6435546912896,-98.0,0.14002,3695.0,0.13211118939574873,close_unstuck_long
158,85338,RUNEUSDT,0.0,-0.00109088,1386.6424638112896,7.0,0.7792,735.0,0.7604971428571429,entry_trailing_cropped_long
159,85339,ADAUSDT,0.7710922498208754,-0.00277002,1387.4107860411104,-99.0,0.1399,3596.0,0.13211118939574873,close_unstuck_long
160,85340,ADAUSDT,0.7710922498208754,-0.00277002,1388.1791082709312,-99.0,0.1399,3497.0,0.13211118939574873,close_unstuck_long
161,85341,ADAUSDT,0.7720822498208765,-0.0027702180000000005,1388.948420302752,-99.0,0.13991,3398.0,0.13211118939574873,close_unstuck_long
162,85342,ADAUSDT,0.7780222498208769,-0.0027714060000000006,1389.723671146573,-99.0,0.13997,3299.0,0.13211118939574873,close_unstuck_long
163,85344,ADAUSDT,0.7710922498208754,-0.00277002,1390.4919933763938,-99.0,0.1399,3200.0,0.13211118939574873,close_unstuck_long
164,85345,ADAUSDT,0.7809922498208771,-0.002772,1391.2702136262146,-99.0,0.14,3101.0,0.13211118939574873,close_unstuck_long
165,85346,ADAUSDT,0.8285122498208752,-0.002781504,1392.0959443720355,-99.0,0.14048,3002.0,0.13211118939574873,close_unstuck_long
166,85347,ADAUSDT,0.8126722498208758,-0.002778336,1392.9058382858564,-99.0,0.14032,2903.0,0.13211118939574873,close_unstuck_long
167,85348,ADAUSDT,0.789902249820875,-0.0027737820000000002,1393.6929667536772,-99.0,0.14009,2804.0,0.13211118939574873,close_unstuck_long
168,85348,XLMUSDT,29.380550000000007,-0.11751226200000002,1422.9560044916773,-3213.0,0.18287,0.0,0.1737257267351385,close_trailing_long
169,85349,ADAUSDT,0.7967698710293797,-0.0028280000000000002,1423.7499463627066,-101.0,0.14,2703.0,0.13211118939574873,close_unstuck_long
170,85349,CRVUSDT,0.0,-0.0022,1423.7477463627067,20.0,0.55,1007.6,0.5648744541484715,entry_trailing_cropped_long
171,85349,RUNEUSDT,0.0,-0.0020300800000000005,1423.7457162827068,13.0,0.7808,748.0,0.7608500000000001,entry_trailing_cropped_long
172,85362,ADAUSDT,0.0,-0.042473042,1423.7032432407068,1541.0,0.13781,4244.0,0.13418043236020472,entry_trailing_cropped_long
173,85470,XLMUSDT,0.0,-0.06832866600000001,1423.6349145747067,2269.0,0.15057,2269.0,0.15057,entry_initial_normal_long
174,85472,XRPUSDT,0.0,-0.068329722,1423.5665848527067,717.9,0.4759,717.9,0.4759,entry_initial_normal_long
175,85473,XLMUSDT,0.0,-0.04556168,1423.5210231727067,1532.0,0.1487,3801.0,0.14981629308076821,entry_trailing_cropped_long
176,85474,XRPUSDT,0.0,-0.04555148,1423.4754716927066,453.7,0.502,1171.6,0.4860071782178218,entry_trailing_cropped_long
177,85505,XRPUSDT,31.741949999999978,-0.12022959199999998,1455.0971921007065,-1171.6,0.5131,0.0,0.4860071782178218,close_trailing_long
178,85506,ADAUSDT,0.0,-0.002515008,1455.0946770927064,96.0,0.13099,4340.0,0.13410986058449512,entry_trailing_cropped_long
179,85506,CRVUSDT,0.0,-0.00257868,1455.0920984127065,24.7,0.522,1032.3,0.5638485905260098,entry_trailing_cropped_long
180,85506,RUNEUSDT,0.0,-0.0025790400000000003,1455.0895193727065,18.0,0.7164,766.0,0.7598054830287208,entry_trailing_cropped_long
181,85506,XLMUSDT,37.073839999999976,-0.121305114,1492.0420542587065,-3801.0,0.15957,0.0,0.14981629308076821,close_trailing_long
182,85506,XLMUSDT,0.0,-0.002521206,1492.0395330527065,79.0,0.15957,79.0,0.15957,entry_trailing_cropped_long
183,85509,CRVUSDT,0.0,-0.0029523600000000002,1492.0365806927064,27.8,0.531,1060.1,0.5629871710216016,entry_trailing_cropped_long
184,85509,RUNEUSDT,0.0,-0.0029472,1492.0336334927063,20.0,0.7368,786.0,0.7592201017811706,entry_trailing_cropped_long
185,85510,ADAUSDT,0.0,-0.0029519340000000002,1492.0306815587062,111.0,0.13297,4451.0,0.13408143449487953,entry_trailing_cropped_long
186,85531,RUNEUSDT,-0.19418193384224158,-0.0028462,1491.833653424864,-19.0,0.749,767.0,0.7592201017811706,close_unstuck_long
187,85535,RUNEUSDT,0.0,-0.00283252,1491.830820904864,19.0,0.7454,786.0,0.7588860280739922,entry_trailing_cropped_long
188,85538,RUNEUSDT,-0.18783453340585166,-0.0028462,1491.6401401714581,-19.0,0.749,767.0,0.7588860280739922,close_unstuck_long
189,85544,RUNEUSDT,0.0,-0.0029716000000000005,1491.6371685714582,20.0,0.7429,787.0,0.7584797757722389,entry_trailing_cropped_long
190,85558,ADAUSDT,-0.0645392289316265,-0.0029637,1491.5696656425266,-111.0,0.1335,4340.0,0.13408143449487953,close_unstuck_long
191,85559,ADAUSDT,-0.011259228931628673,-0.002974356,1491.555432057595,-111.0,0.13398,4229.0,0.13408143449487953,close_unstuck_long
192,85560,ADAUSDT,-0.009039228931626453,-0.0029748,1491.5434180286634,-111.0,0.134,4118.0,0.13408143449487953,close_unstuck_long
193,85561,ADAUSDT,0.08564220556325303,-0.00296692,1491.6260933142266,-110.0,0.13486,4008.0,0.13408143449487953,close_unstuck_long
194,85562,ADAUSDT,0.07794220556325143,-0.0029653799999999997,1491.7010701397899,-110.0,0.13479,3898.0,0.13408143449487953,close_unstuck_long
195,85570,ADAUSDT,-0.042339228931625866,-0.0029681400000000006,1491.6557627708582,-111.0,0.1337,3787.0,0.13408143449487953,close_unstuck_long
196,85571,ADAUSDT,-0.02124922893162634,-0.0029723580000000005,1491.6315411839266,-111.0,0.13389,3676.0,0.13408143449487953,close_unstuck_long
197,85572,ADAUSDT,-0.02457922893162659,-0.002971692,1491.603990262995,-111.0,0.13386,3565.0,0.13408143449487953,close_unstuck_long
